Target,R² Score,Mean Error,Std Error
mean_age,0.99804870703706,-480.05689741981644,2525.806310262221
median_age,0.9917552386306013,-135.25194178439114,1064.2249860175452
lo95,0.9906523176621902,-140.6667329216215,1055.3113337846466
hi95,0.9983960137984447,-1649.14759102599,9227.91876831911
ci_width,0.9984546226172405,-1509.5902903294352,8872.164562774507
acc_rate,0.5670326727381041,0.5219618837807195,15.241667679888092
sed_rate,0.8547260971607344,0.0007412365343092264,0.0527522632365238
