Target,R2_Score,MAE,RMSE
mean_age,0.9999788031725618,128.41352857861494,267.96614020935317
median_age,0.9997201184921546,100.36803786505713,197.65636192012448
lo95,0.9998611959142228,89.59921112414206,129.73405799609964
hi95,0.9999975818863519,184.1697019954497,363.972577802446
ci_width,0.9999987589060679,102.43130488934223,255.0421268749311
acc_rate,0.7516668628827025,1.7387636163693512,11.549861536612063
sed_rate,0.9561739255711019,0.016537887353044223,0.028977202102360346
