"depth","mean_age","median_age","lo95","hi95","ci_width","acc_rate","sed_rate"
100,569.222814,556.9715,476.0731,651.735375,175.662275,40.53679636,0.071470027858912
101,609.75961036,611.923005,504.42453775,723.7296625,219.30512475,40.53679636,0.071470027858912
102,650.29640672,644.8561,520.99798285,828.789875,307.79189215,40.53679636,0.071470027858912
103,690.83320308,675.754,531.02533,946.01195,414.98662,40.53679636,0.071470027858912
104,731.36999944,707.3354,537.663208,1061.801175,524.137967,40.53679636,0.071470027858912
105,771.9067958,738.20275,546.9457925,1181.60445,634.6586575,40.53679636,0.071470027858912
106,812.44359216,769.3248,554.6039155,1304.8299,750.2259845,40.53679636,0.071470027858912
107,852.98038852,800.74385,561.02730825,1429.39195,868.36464175,40.53679636,0.071470027858912
108,893.51718488,832.9146,566.069537,1545.93065,979.861113,40.53679636,0.071470027858912
109,934.05398124,865.9995,572.57806025,1664.953,1092.37493975,40.53679636,0.071470027858912
110,974.5907776,898.7055,576.7820825,1788.023625,1211.2415425,38.646553454225,0.0734217440516966
111,1013.23733105423,938.90945,611.02003025,1822.5494825,1211.52945225,38.646553454225,0.0734217440516966
112,1051.88388450845,984.4489,634.591361,1855.13986,1220.548499,38.646553454225,0.0734217440516966
113,1090.53043796268,1032.5345,655.59296575,1879.44091425,1223.8479485,38.646553454225,0.0734217440516966
114,1129.1769914169,1073.90858,670.3607565,1913.923809,1243.5630525,38.646553454225,0.0734217440516966
115,1167.82354487113,1114.1425,685.12822625,1949.8904875,1264.76226125,38.646553454225,0.0734217440516966
116,1206.47009832535,1155.45469,699.2090555,1979.80791,1280.5988545,38.646553454225,0.0734217440516966
117,1245.11665177958,1198.100465,714.1481075,2049.9579275,1335.80982,38.646553454225,0.0734217440516966
118,1283.7632052338,1237.8119,723.9234115,2109.967605,1386.0441935,38.646553454225,0.0734217440516966
119,1322.40975868803,1274.74985,732.416828,2180.88885,1448.472022,38.646553454225,0.0734217440516966
120,1361.05631214225,1310.36,741.219705,2251.0857,1509.865995,39.05235061325,0.060748083137893
121,1400.1086627555,1351.86645,787.99286775,2285.9259525,1497.93308475,39.05235061325,0.060748083137893
122,1439.16101336875,1392.4171,824.58209,2315.309,1490.72691,39.05235061325,0.060748083137893
123,1478.213363982,1432.3391,859.66694,2342.5363625,1482.8694225,39.05235061325,0.060748083137893
124,1517.26571459525,1473.1432,878.8739295,2377.600689,1498.7267595,39.05235061325,0.060748083137893
125,1556.3180652085,1511.925,896.8774875,2416.27135,1519.3938625,39.05235061325,0.060748083137893
126,1595.37041582175,1553.74,919.2629275,2462.89952,1543.6365925,39.05235061325,0.060748083137893
