"depth","mean_age","median_age","lo95","hi95","ci_width","acc_rate","sed_rate"
62.5,8597.26338441094,8598.81762,8253.85567125,8911.84444875,657.988777499999,28.826088821875,0.110337240183708
63.5,8626.08947323281,8626.6673,8291.81901125,8937.75679025,645.937779,28.826088821875,0.110337240183708
64.5,8654.91556205469,8654.2967625,8318.64805625,8976.407575625,657.759519375,28.826088821875,0.110337240183708
65.5,8683.74165087656,8681.259225,8347.89457,9016.12971,668.235140000003,28.826088821875,0.110337240183708
66.5,8712.56773969844,8707.2289855,8378.59019875,9063.8946675,685.304468749999,28.826088821875,0.110337240183708
67.5,8741.04057919862,8733.85642,8401.92638,9104.762110125,702.835730125,28.1195901785,0.110046374304481
68.5,8769.16016937712,8761.86365,8420.360979625,9130.06288,709.701900374999,28.1195901785,0.110046374304481
69.5,8797.27975955563,8790.1936375,8451.96399,9160.52865625,708.56466625,28.1195901785,0.110046374304481
70.5,8825.39934973413,8818.46635,8480.9381539375,9202.791925,721.853771062499,28.1195901785,0.110046374304481
71.5,8853.51893991262,8846.6387,8493.34202375,9249.33251,755.990486250001,28.1195901785,0.110046374304481
72.5,8881.13054948013,8872.504025,8519.266972625,9290.1887775,770.921804874999,27.1036289565,0.0899782702319279
73.5,8908.23417843663,8898.19386,8545.32626475,9313.7468575,768.420592749999,27.1036289565,0.0899782702319279
74.5,8935.33780739313,8927.094,8567.62891625,9341.94232125,774.313405000001,27.1036289565,0.0899782702319279
75.5,8962.44143634963,8955.0801,8582.5322875,9370.713073625,788.180786124998,27.1036289565,0.0899782702319279
76.5,8989.54506530613,8983.10135,8595.81550125,9403.00307125,807.187570000002,27.1036289565,0.0899782702319279
77.5,9017.155867106,9010.3613275,8618.260217875,9437.617384875,819.357167000002,28.11797464325,0.0973940020295498
78.5,9045.27384174925,9038.467575,8644.638032625,9461.3160755,816.678042874999,28.11797464325,0.0973940020295498
79.5,9073.3918163925,9065.954025,8672.39241875,9487.88164375,815.489225000001,28.11797464325,0.0973940020295498
80.5,9101.50979103575,9095.887875,8697.7279025,9520.0250375,822.297134999999,28.11797464325,0.0973940020295498
81.5,9129.627765679,9126.1078,8719.570328375,9566.2413825,846.671054124998,28.11797464325,0.0973940020295498
82.5,9157.06307636733,9151.860075,8746.64421125,9599.3196475,852.67543625,26.7526467334,0.108315014708241
83.5,9183.81572310072,9179.7249,8782.42394875,9623.98823625,841.564287500001,26.7526467334,0.108315014708241
84.5,9210.56836983413,9206.14335,8805.312188125,9659.47572625,854.163538124998,26.7526467334,0.108315014708241
85.5,9237.32101656752,9235.2372075,8822.79740375,9684.7262125,861.928808749997,26.7526467334,0.108315014708241
86.5,9264.07366330093,9262.63624,8840.999823625,9715.0577995,874.057975874999,26.7526467334,0.108315014708241
87.5,9291.50091013884,9288.84488,8869.9633575,9739.534773375,869.571415875002,28.101846942425,0.119800067011997
88.5,9319.60275708126,9319.15635,8900.67928,9754.99127625,854.31199625,28.101846942425,0.119800067011997
89.5,9347.70460402369,9349.2127125,8926.17623125,9773.9052125,847.72898125,28.101846942425,0.119800067011997
90.5,9375.80645096611,9376.16385,8950.19308875,9806.36725,856.174161249997,28.101846942425,0.119800067011997
91.5,9403.90829790854,9403.4587,8967.06386175,9851.38553,884.321668249999,28.101846942425,0.119800067011997
92.5,9431.9793452035,9430.258525,8994.3668035,9890.33961625,895.97281275,28.0402476475,0.10310382100996
