"depth","mean_age","median_age","lo95","hi95","ci_width","acc_rate","sed_rate"
27.5,157.855989239767,175.335585,-55.17129625,424.009255,479.18055125,19.604160904925,0.154079944070875
28.5,177.460150144693,192.2945225,-40.316358875,438.168818375,478.48517725,19.604160904925,0.154079944070875
29.5,197.064311049617,208.0361625,-31.83209625,453.99522625,485.8273225,19.604160904925,0.154079944070875
30.5,216.668471954542,224.6997525,-22.65810925,473.21680125,495.8749105,19.604160904925,0.154079944070875
31.5,236.272632859468,242.443825,-17.13608775,501.601935,518.73802275,19.604160904925,0.154079944070875
32.5,256.48924694268,261.71985,4.0267295,534.39536375,530.36863425,20.8290672615,0.147420059197664
33.5,277.31831420418,283.693975,22.251965,549.51195125,527.25998625,20.8290672615,0.147420059197664
34.5,298.14738146568,304.1367375,38.164541875,568.7582875,530.593745625,20.8290672615,0.147420059197664
35.5,318.97644872718,324.2848075,49.011633,585.87951375,536.86788075,20.8290672615,0.147420059197664
36.5,339.80551598868,343.70120625,58.020048,614.77781625,556.75776825,20.8290672615,0.147420059197664
37.5,359.400192453718,360.1306825,77.25311375,634.481297375,557.228183625,18.360285668575,0.145335931910364
38.5,377.760478122293,377.265425,105.12220325,644.122065875,538.999862625,18.360285668575,0.145335931910364
39.5,396.120763790867,397.2477,126.01593875,653.77709875,527.76116,18.360285668575,0.145335931910364
40.5,414.481049459442,416.379695,145.8563475,668.750287125,522.893939625,18.360285668575,0.145335931910364
41.5,432.841335128017,434.26541,158.863984375,686.1234525,527.259468125,18.360285668575,0.145335931910364
42.5,451.193374527918,451.5165,180.196315,703.087694625,522.891379625,18.343793131225,0.148615025756116
43.5,469.537167659142,468.75486,201.235870875,714.032614125,512.79674325,18.343793131225,0.148615025756116
44.5,487.880960790368,486.3995375,220.994064625,725.84287625,504.848811625,18.343793131225,0.148615025756116
45.5,506.224753921592,507.050545,239.35712775,740.7365547125,501.3794269625,18.343793131225,0.148615025756116
46.5,524.568547052818,527.48909,251.407813625,757.2620275,505.854213875,18.343793131225,0.148615025756116
47.5,542.264049075955,545.91705,270.36590335,773.8680195,503.50211615,17.04721091505,0.154860907895789
48.5,559.311259991005,563.994725,297.3648375,781.2142225,483.849385,17.04721091505,0.154860907895789
49.5,576.358470906055,582.1624075,321.5079,790.834554375,469.326654375,17.04721091505,0.154860907895789
50.5,593.405681821105,600.1482575,343.3574645,803.23242,459.8749555,17.04721091505,0.154860907895789
51.5,610.452892736155,617.0386975,356.81696625,823.27645675,466.4594905,17.04721091505,0.154860907895789
52.5,628.337036461513,634.729285,384.6771825,834.0885675,449.411385,18.721076535665,0.243964719882243
53.5,647.058112997178,652.7842325,420.85124125,840.69717275,419.8459315,18.721076535665,0.243964719882243
54.5,665.779189532842,670.702875,451.69367375,850.45166875,398.757995,18.721076535665,0.243964719882243
55.5,684.500266068507,687.0898375,474.432473,861.88216925,387.44969625,18.721076535665,0.243964719882243
56.5,703.221342604172,706.01428,492.4723325,877.054643,384.5823105,18.721076535665,0.243964719882243
57.5,721.727865523255,723.31771,524.74315125,888.8403775,364.09722625,18.2919693025,0.15094148593689
58.5,740.019834825755,737.3109575,567.478385,894.300968375,326.822583375,18.2919693025,0.15094148593689
59.5,758.311804128255,753.8375625,611.1500075,903.188609375,292.038601875,18.2919693025,0.15094148593689
60.5,776.603773430755,769.0920575,644.807715,912.721751125,267.914036125,18.2919693025,0.15094148593689
61.5,794.895742733255,783.92862925,669.87939875,928.59378,258.71438125,18.2919693025,0.15094148593689
62.5,813.153494012755,801.468265,691.310515125,945.83483875,254.524323625,18.2235332565,0.153977870814349
63.5,831.377027269255,822.8916775,706.843883125,963.82600875,256.982125625,18.2235332565,0.153977870814349
64.5,849.600560525755,844.395575,716.8915965,992.35640875,275.46481225,18.2235332565,0.153977870814349
65.5,867.824093782255,865.50073,723.990680025,1024.26418375,300.273503725,18.2235332565,0.153977870814349
66.5,886.047627038755,885.5085175,730.836621625,1057.08055375,326.243932125,18.2235332565,0.153977870814349
67.5,905.377722514492,905.25035,746.0375245,1083.09899875,337.06147425,20.436657694975,0.125843347338987
68.5,925.814380209467,926.851375,768.38555075,1093.42471,325.03915925,20.436657694975,0.125843347338987
69.5,946.251037904442,949.3892775,781.9086255125,1109.583155625,327.6745301125,20.436657694975,0.125843347338987
70.5,966.687695599417,971.56572,792.486414625,1130.390557625,337.904143,20.436657694975,0.125843347338987
71.5,987.124353294392,991.3431,801.891613,1155.684820875,353.793207875,20.436657694975,0.125843347338987
72.5,1006.74877375541,1010.281625,819.81173125,1179.97536375,360.1636325,18.81218322707,0.155480524062679
