"labID","age","error","depth","cc"
353062,230,50,27.5,1
353063,865,60,62.5,1
353064,1355,60,82.5,1
353065,1530,50,102.5,1
353066,1750,50,122.5,1
353067,2120,45,172.5,1
353068,3080,50,192.5,1
353069,3865,70,242.5,1
353070,4675,55,277.5,1
353071,4910,90,312.5,1
353072,5050,45,342.5,1
353073,5305,75,382.5,1
353074,6055,120,432.5,1
353075,6670,60,462.5,1
353076,7400,60,507.5,1
353077,8130,85,542.5,1
353078,8370,115,577.5,1
353079,9110,70,632.5,1
353080,9855,315,657.5,1
353081,9865,105,662.5,1
