"labID","age","error","depth","cc"
1,2270,80,75,1
2,2475,20,130,1
3,2700,25,165,1
4,6730,30,265,1
5,12310,170,550,1
6,18220,320,1025,1
7,19020,300,1320,1
8,19520,270,1525,1
9,26750,650,2100,1
10,29540,790,2180,1
11,32060,220,2310,1
