"labID","age","error","depth","cc"
358559,1120,30,143,1
358560,1870,40,227,1
358561,3140,40,331,1
358562,3920,60,383,1
358563,3950,40,401,1
358565,5300,50,455,1
358566,5280,50,463,1
358567,5880,50,477,1
358569,6670,50,523,1
358570,7700,70,537,1
358571,8110,60,549,1
358573,9070,70,579,1
358579,10100,100,897.5,1
