"labID","age","error","depth","cc"
398155,50,80,12,1
398156,385,60,14.5,1
398157,590,90,18.9,1
398158,1145,85,20.5,1
398159,2370,75,27,1
398160,2230,80,29,1
398161,3230,80,39.5,1
398162,3225,90,42,1
398163,3480,140,51.5,1
398164,3460,80,54,1
398165,4025,85,56.5,1
398166,4255,85,58.5,1
398167,4725,95,63.5,1
398168,4725,100,65.5,1
