"labID","age","error","depth","cc"
1450391,105,30,60,1
1450399,170,30,92,1
1450392,1365,30,110,1
1450393,2080,30,117,1
1450394,4080,30,135,1
1450395,5520,50,137,1
1450397,6150,30,139,1
1450398,6625,30,145,1
1450400,6955,30,159,1
1450401,7665,30,174,1
1450402,8755,30,200,1
1450404,8765,35,227,1
