"labID","age","error","depth","cc"
269722,690,30,9,1
269723,2460,40,99,1
269724,5135,60,201,1
269725,6730,70,299,1
269726,8550,100,399,1
269727,9230,90,501,1
269728,10780,140,597,1
269729,11230,150,653,1
269730,14210,90,671,1
269731,9600,60,718,1
269732,10940,90,735,1
269733,11850,80,794,1
269734,32310,500,795,1
269735,36060,800,911,1
269736,9880,50,994,1
269737,27260,270,995,1
269738,9490,60,1035,1
269739,38690,270,1147,1
269740,38920,630,1151,1
269741,34190,570,1155,1
