Target,R2_Score
mean_age,-17.18752002191965
median_age,-0.6677119480910412
lo95,-0.9225738564727086
hi95,-282.63855636104336
ci_width,-17632.536685579234
acc_rate,-0.47312823434542395
sed_rate,-0.2118274770496773
